reportyear,geotype,geotypevalue,geoname,region_code,region_name,strata_level_name_code,strata_level_name,numerator,denominator,rate,quotient,ca_rr,dof_population
2011,CO,6021,Glenn,7,Northern Sacramento Valley,1,Aggravated assault,51,28453,,0.1792429621,,28315
2011,CO,6021,Glenn,7,Northern Sacramento Valley,2,Forcible rape,3,28453,,0.01054370365,,28315
2011,CO,6021,Glenn,7,Northern Sacramento Valley,3,Murder and non-negligent manslaughter,2,28453,,0.007029135768,,28315
2011,CO,6021,Glenn,7,Northern Sacramento Valley,4,Robbery,9,28453,,0.03163111095,,28315
2011,CO,6021,Glenn,7,Northern Sacramento Valley,5,Violent crime total,65,28453,2.284469125,0.2284469125,0.556293419,28315
2011,CO,6023,Humboldt,5,North Coast,1,Aggravated assault,269,136206,,0.1974949709,,134547
2011,CO,6023,Humboldt,5,North Coast,2,Forcible rape,67,136206,,0.0491901972,,134547
2011,CO,6023,Humboldt,5,North Coast,3,Murder and non-negligent manslaughter,3,136206,,0.002202546143,,134547
2011,CO,6023,Humboldt,5,North Coast,4,Robbery,101,136206,,0.07415238683,,134547
2011,CO,6023,Humboldt,5,North Coast,5,Violent crime total,440,136206,3.23040101,0.323040101,0.786638263,134547
2011,CO,6025,Imperial,14,Southern California,1,Aggravated assault,337,168784,,0.1996634752,,176864
2011,CO,6025,Imperial,14,Southern California,2,Forcible rape,30,168784,,0.01777419661,,176864
2011,CO,6025,Imperial,14,Southern California,3,Murder and non-negligent manslaughter,3,168784,,0.001777419661,,176864
2011,CO,6025,Imperial,14,Southern California,4,Robbery,83,168784,,0.04917527728,,176864
2011,CO,6025,Imperial,14,Southern California,5,Violent crime total,453,168784,2.683903688,0.2683903688,0.65356014,176864
2011,CO,6027,Inyo,3,Central/Southeast Sierra,1,Aggravated assault,55,18764,,0.2931144745,,18526
2011,CO,6027,Inyo,3,Central/Southeast Sierra,2,Forcible rape,8,18764,,0.04263483266,,18526
2011,CO,6027,Inyo,3,Central/Southeast Sierra,3,Murder and non-negligent manslaughter,1,18764,,0.005329354082,,18526
2011,CO,6027,Inyo,3,Central/Southeast Sierra,4,Robbery,4,18764,,0.02131741633,,18526
2011,CO,6027,Inyo,3,Central/Southeast Sierra,5,Violent crime total,68,18764,3.623960776,0.3623960776,0.882474405,18526
2011,CO,6029,Kern,10,San Joaquin Valley,1,Aggravated assault,3188,849502,,0.3752786927,,848062
